,        0,        1,        2,        3,        4,        5,        6,        7,        8,        9
        0,     -310,        2,        3,        1,        2,        8,        0,        2,        0,        8
        1,        0,     -150,        2,        2,        0,        0,        1,       11,        1,        0
        2,        0,        0,     -300,       21,        0,        1,        5,        5,        9,        0
        3,        0,        0,        0,     -470,        0,        1,        5,        4,       15,        4
        4,        0,        0,        0,        0,     -300,       15,        6,        0,        4,        2
        5,        0,        0,        0,        0,        0,     -330,        4,        0,        5,       10
        6,        0,        0,        0,        0,        0,        0,     -470,        8,        2,        0
        7,        0,        0,        0,        0,        0,        0,        0,     -310,        0,        0
        8,        0,        0,        0,        0,        0,        0,        0,        0,     -380,        7
        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,     -320
