,        0,        1,        2,        3,        4,        5,        6,        7,        8,        9
        0, -23.3333,        0,        0,        0,        0,        0,        6,        0,        0,        0
        1,        0, -26.6667,        2,        0,        0,        0,        0,        5,        0,        2
        2,        0,        0, -38.3333,        0,        6,        0,        0,        0,        1,       10
        3,        0,        0,        0, -28.3333,        0,        7,        0,        0,        0,        0
        4,        0,        0,        0,        0,      -35,        0,        0,        1,       10,        6
        5,        0,        0,        0,        0,        0, -38.3333,        0,        0,        0,        0
        6,        0,        0,        0,        0,        0,        0,      -50,        0,        3,        0
        7,        0,        0,        0,        0,        0,        0,        0,      -40,        1,        1
        8,        0,        0,        0,        0,        0,        0,        0,        0, -38.3333,        6
        9,        0,        0,        0,        0,        0,        0,        0,        0,        0, -28.3333
