,        0,        1,        2,        3,        4,        5,        6,        7,        8,        9
        0,      -64,        0,        1,        4,        4,        0,       23,        4,        6,        0
        1,        0,      -40,        0,        4,        3,        0,        0,        8,        0,        0
        2,        0,        0,      -58,        9,        0,        0,        1,        0,        3,        0
        3,        0,        0,        0,      -88,        7,        2,        7,        7,       15,        1
        4,        0,        0,        0,        0,      -24,        2,        0,        9,        4,        1
        5,        0,        0,        0,        0,        0,      -52,        0,       10,        0,       15
        6,        0,        0,        0,        0,        0,        0,      -72,        0,        1,        0
        7,        0,        0,        0,        0,        0,        0,        0,      -70,        4,        8
        8,        0,        0,        0,        0,        0,        0,        0,        0,      -50,        0
        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,      -40
